State,rollout_date,post_start,post_end,Uptake180_per100
AN,2021-01-16,2021-10-08,2022-01-06,2853.161097256858
AP,2021-01-16,2021-10-08,2022-01-06,1584.5293591174857
AR,2021-01-16,2021-10-08,2022-01-06,2112.2746258946
AS,2021-01-16,2021-10-08,2022-01-06,1056.5579121035414
BR,2021-01-16,2021-10-08,2022-01-06,785.8526884676018
CH,2021-01-16,2021-10-08,2022-01-06,2431.7266501650165
CT,2021-01-16,2021-10-08,2022-01-06,1971.0793967642785
DL,2021-01-16,2021-10-08,2022-01-06,2123.0785296816885
DN,2021-01-16,2021-10-08,2022-01-06,1851.0885379061372
GJ,2021-01-16,2021-10-08,2022-01-06,2156.2630338922586
HP,2021-01-16,2021-10-08,2022-01-06,2971.4866324601676
HR,2021-01-16,2021-10-08,2022-01-06,1778.7446493717066
JH,2021-01-16,2021-10-08,2022-01-06,1076.4627300256232
JK,2021-01-16,2021-10-08,2022-01-06,2148.946688988095
KA,2021-01-16,2021-10-08,2022-01-06,1915.9640671185023
KL,2021-01-16,2021-10-08,2022-01-06,2402.661217885584
LA,2021-01-16,2021-10-08,2022-01-06,4410.810067114094
LD,2021-01-16,2021-10-08,2022-01-06,4580.189705882352
MH,2021-01-16,2021-10-08,2022-01-06,1582.2962672929257
ML,2021-01-16,2021-10-08,2022-01-06,1247.6326251896812
MN,2021-01-16,2021-10-08,2022-01-06,1290.7552017654475
MP,2021-01-16,2021-10-08,2022-01-06,1376.3298362008013
MZ,2021-01-16,2021-10-08,2022-01-06,2628.173666940115
NL,2021-01-16,2021-10-08,2022-01-06,1247.2248862602364
OR,2021-01-16,2021-10-08,2022-01-06,1581.1346843404015
PB,2021-01-16,2021-10-08,2022-01-06,1339.7581601105119
PY,2021-01-16,2021-10-08,2022-01-06,1729.5800505050504
RJ,2021-01-16,2021-10-08,2022-01-06,1991.1947556929572
SK,2021-01-16,2021-10-08,2022-01-06,3668.01401179941
TN,2021-01-16,2021-10-08,2022-01-06,1091.1312321029302
TR,2021-01-16,2021-10-08,2022-01-06,3321.876819407008
UP,2021-01-16,2021-10-08,2022-01-06,779.6201356040466
UT,2021-01-16,2021-10-08,2022-01-06,2206.9852434653376
WB,2021-01-16,2021-10-08,2022-01-06,1307.0433921758151
