State,Lag_days,Correlation
Andaman and Nicobar Islands,0,0.038062703257238664
Andaman and Nicobar Islands,7,0.059299821308811784
Andaman and Nicobar Islands,14,-0.002655932465319315
Andaman and Nicobar Islands,21,-0.060385003003368125
Andaman and Nicobar Islands,28,-0.023254619369965118
Andhra Pradesh,0,-0.05089194884897349
Andhra Pradesh,7,-0.012313676784121024
Andhra Pradesh,14,-0.0257637070792048
Andhra Pradesh,21,-0.030123510631569633
Andhra Pradesh,28,-0.05932559623330013
Arunachal Pradesh,0,0.05683198521247248
Arunachal Pradesh,7,0.04351535142679544
Arunachal Pradesh,14,0.02329649376929367
Arunachal Pradesh,21,-0.02419142275230521
Arunachal Pradesh,28,-0.06831036367538702
Assam,0,-0.01939424455042713
Assam,7,-0.03877905463117645
Assam,14,-0.0507711624935322
Assam,21,-0.043317289639874496
Assam,28,-0.016535467514233425
Bihar,0,0.028715242705576006
Bihar,7,0.041691847796228414
Bihar,14,0.032657222393464115
Bihar,21,0.012186264336828997
Bihar,28,-0.017046611687850873
Chandigarh,0,0.04810951927544097
Chandigarh,7,0.05735234956889057
Chandigarh,14,0.040560082267145324
Chandigarh,21,0.052319084912389624
Chandigarh,28,0.00883661739234428
Chhattisgarh,0,0.2656494328342963
Chhattisgarh,7,0.1628968857474047
Chhattisgarh,14,0.07604566277607115
Chhattisgarh,21,0.013149323103661601
Chhattisgarh,28,-0.13591657657101394
Dadra and Nagar Haveli and Daman and Diu,0,-0.004055290872401051
Dadra and Nagar Haveli and Daman and Diu,7,0.04123430255696593
Dadra and Nagar Haveli and Daman and Diu,14,0.02265164886513314
Dadra and Nagar Haveli and Daman and Diu,21,-0.03362506737431972
Dadra and Nagar Haveli and Daman and Diu,28,-0.050426270485098394
Delhi,0,0.03142913612796983
Delhi,7,0.03910277204188116
Delhi,14,-0.0032216440421286557
Delhi,21,-0.007050169729478836
Delhi,28,-0.0278783087880091
Goa,0,0.02491379401953703
Goa,7,0.04433427251748176
Goa,14,0.009395508879728252
Goa,21,-0.01670650217910303
Goa,28,-0.071050344182463
Gujarat,0,0.023943977634644502
Gujarat,7,0.025798643750378505
Gujarat,14,0.030417930698832935
Gujarat,21,0.019992615844242136
Gujarat,28,-0.0036678175480325793
Haryana,0,0.051935746326760984
Haryana,7,0.06144670427551826
Haryana,14,0.08402894810655581
Haryana,21,0.07662491932338558
Haryana,28,0.048811182124404905
Himachal Pradesh,0,0.0763739508291457
Himachal Pradesh,7,0.06063015771726701
Himachal Pradesh,14,0.032929904283289124
Himachal Pradesh,21,0.024788386111758272
Himachal Pradesh,28,-0.017501666803264808
India,0,0.026707981556978178
India,7,0.018149087303418243
India,14,0.02071960646318907
India,21,-0.00505723543554762
India,28,-0.028767146402948102
Jammu and Kashmir,0,0.03807012477643949
Jammu and Kashmir,7,0.0449098111551335
Jammu and Kashmir,14,0.03758037468358744
Jammu and Kashmir,21,0.025213485191736062
Jammu and Kashmir,28,0.0005348793533671259
Jharkhand,0,0.05700359054950771
Jharkhand,7,0.06827119370161833
Jharkhand,14,0.07340990779031654
Jharkhand,21,0.0682727406908415
Jharkhand,28,0.030169765049410997
Karnataka,0,-0.015311318569491129
Karnataka,7,0.000947957230127573
Karnataka,14,0.015218397689054457
Karnataka,21,0.006714524020334792
Karnataka,28,0.005206673999729341
Kerala,0,0.05952916608592641
Kerala,7,0.0470316149296016
Kerala,14,0.04244448326910057
Kerala,21,0.005550351169362626
Kerala,28,-0.010431451005635526
Ladakh,0,-0.11336747094290252
Ladakh,7,-0.001980680133544727
Ladakh,14,-0.01623956957670901
Ladakh,21,-0.0439936389925256
Ladakh,28,0.06410189885432148
Lakshadweep,0,-0.07830524485794595
Lakshadweep,7,0.04350281413424707
Lakshadweep,14,-0.020011513895950413
Lakshadweep,21,-0.04570167808669386
Lakshadweep,28,0.019186871815568073
Madhya Pradesh,0,0.044533245681785884
Madhya Pradesh,7,0.06033334346605026
Madhya Pradesh,14,0.03477433757205824
Madhya Pradesh,21,0.021939939514672765
Madhya Pradesh,28,-0.003094157826356842
Maharashtra,0,0.035478324801538126
Maharashtra,7,-0.020150424063367846
Maharashtra,14,-0.0381579302326492
Maharashtra,21,-0.06996640312274219
Maharashtra,28,-0.08350263059319112
Manipur,0,0.09730170806579555
Manipur,7,-0.03714427245826332
Manipur,14,-0.18635371305695
Manipur,21,-0.25829204316548987
Manipur,28,-0.3060581806026401
Meghalaya,0,0.07815071719143207
Meghalaya,7,0.03546782528166222
Meghalaya,14,-0.022422520836748516
Meghalaya,21,-0.051682719285384614
Meghalaya,28,-0.15799540878855048
Mizoram,0,0.07983308201862159
Mizoram,7,0.022093276848011437
Mizoram,14,0.030420785551106975
Mizoram,21,-0.0015673175369513182
Mizoram,28,0.007098141267444241
Nagaland,0,-0.0009209690794335223
Nagaland,7,0.03497193006116428
Nagaland,14,0.03226870374074329
Nagaland,21,-0.014538405715772508
Nagaland,28,-0.045305063689410285
Odisha,0,-0.010778832123419489
Odisha,7,0.03533135160680642
Odisha,14,0.06655281224008884
Odisha,21,0.08278667276170999
Odisha,28,0.06800296190013108
Puducherry,0,0.011735099483180569
Puducherry,7,0.03166369971963996
Puducherry,14,0.04396336769782758
Puducherry,21,0.041918849850360346
Puducherry,28,0.028192342606877398
Punjab,0,-0.03959027857982172
Punjab,7,-0.042970081856293925
Punjab,14,-0.05368919516005319
Punjab,21,-0.08814243868547049
Punjab,28,-0.09866821296715376
Rajasthan,0,0.08631117559848048
Rajasthan,7,0.09450995443615691
Rajasthan,14,0.1183214922082419
Rajasthan,21,0.04786893323238295
Rajasthan,28,0.025590754419507766
Sikkim,0,0.018372094957177346
Sikkim,7,0.07524952007683011
Sikkim,14,0.093267118886523
Sikkim,21,0.05616150998406736
Sikkim,28,0.005220399934081886
Tamil Nadu,0,-0.07303262511856473
Tamil Nadu,7,-0.029936702277142006
Tamil Nadu,14,-0.0054737162602007845
Tamil Nadu,21,0.000931895915828636
Tamil Nadu,28,0.013963587589329488
Telangana,0,0.06140145154690389
Telangana,7,-0.013782712008379808
Telangana,14,-0.0650284334607305
Telangana,21,-0.08139999927248778
Telangana,28,-0.09297813319923341
Tripura,0,-0.005897801834201758
Tripura,7,0.0612378795816607
Tripura,14,0.08291970162133849
Tripura,21,0.059568580727972914
Tripura,28,-0.02847969632554358
Uttar Pradesh,0,0.028336208202434595
Uttar Pradesh,7,0.019328702262460966
Uttar Pradesh,14,0.001260803026704303
Uttar Pradesh,21,-0.01798600262527015
Uttar Pradesh,28,-0.038320117877839455
Uttarakhand,0,0.04362133905891263
Uttarakhand,7,0.025101645372938675
Uttarakhand,14,0.03292598657111718
Uttarakhand,21,-0.0012959499318139197
Uttarakhand,28,-0.011402325310724545
West Bengal,0,0.025308950682415374
West Bengal,7,0.03272559344306289
West Bengal,14,0.043898665604979965
West Bengal,21,0.01736013483854152
West Bengal,28,0.008050103484851105
