,estimate
0,0.022022749917225533
1,-0.013067536442289527
2,-0.004898442226454678
3,-0.0009879071479658803
4,0.0002486288761357749
5,-0.0016273953892382677
6,0.003518349699849325
7,0.0019588567822516113
8,-0.002122760192260047
9,-0.0001757117374795025
10,-0.0017757210307978435
11,0.005485281915937383
12,-0.0009589619444222218
13,-0.0041950289629906976
14,-0.0011921184491852418
15,0.0005476315095336011
16,0.03807769310711746
17,0.0013971283600230362
18,0.00416467385577553
19,0.01608550387079082
20,0.00812141598922107
21,0.011531568937944848
22,-0.003987256048854658
23,-0.002756005779830672
24,0.015360912225115039
25,-0.004275508807798393
26,0.021605505416804168
27,-2.3107914359363473e-05
28,-0.000988902224296039
29,0.010842468028949056
30,-0.003907603493261556
31,0.011841222283684852
32,-0.000952722141860833
33,0.0029123638351114802
34,-0.0011429574705532973
35,-0.0021696629315010236
36,-0.0029955141441496444
37,0.0037172026935552932
38,-0.000775458491929569
39,-0.0006271172839237321
40,-0.0025417757699972903
41,-0.0012473158808722815
42,0.0016252638711218449
43,0.0013472603272142963
44,0.013796478201514719
45,0.008959495972905837
46,0.0021448173476138433
47,-0.0026715847181933753
48,-0.005265068768493654
49,-0.005782145582630255
50,-0.0060966740905908316
51,-0.0052729800859261395
52,-0.004747745786406666
53,-0.004440521040978595
54,-0.0019319152984298464
55,0.016085811100578103
56,-0.0023771975194785983
57,-0.0010866722119499432
58,0.0020363515483006888
59,0.006337988664206544
60,-1.5362956344481953e-06
61,9.16519961134764e-07
62,-2.9413625255251526e-06
