term,estimate,pvalue
Intercept,0.03182194435502533,1.1932701375940086e-06
Post[T.True],0.0032595935592712034,0.61995349399496
C(State)[T.AP],-0.007767154515051489,5.6481536071563465e-06
C(State)[T.AR],-0.0004747663745086649,0.8928239446417972
C(State)[T.AS],-0.005818311911043358,1.903868605095974e-12
C(State)[T.BR],-0.013985948544426146,1.2469942170920587e-06
C(State)[T.CH],0.0009621274759179341,0.8470116330017046
C(State)[T.CT],0.007990579068313717,0.001684408207831622
C(State)[T.DL],0.0059500707812788906,0.09538052246567276
C(State)[T.GJ],0.0021095126791252005,0.44692681503508547
C(State)[T.HP],0.017235722429994698,0.0019311729930966744
C(State)[T.HR],0.02393352753966984,3.717684534869643e-12
C(State)[T.JH],-0.007548335679987971,1.3938447925707565e-08
C(State)[T.JK],0.0006138879164019778,0.8368276128862927
C(State)[T.KA],0.002045792174000835,0.43861486355890167
C(State)[T.KL],0.02080299249165691,0.012801126631576532
C(State)[T.LA],0.01179160829862112,0.22425355845269065
C(State)[T.MH],0.0002912900871126162,0.8630620477381408
C(State)[T.ML],-0.00036485024216653824,0.7169492341230529
C(State)[T.MN],0.0035381974616764704,0.0005608321482671845
C(State)[T.MP],-0.007884107931408667,0.00014198986446398428
C(State)[T.MZ],-0.0027948848837339303,0.8040375807499767
C(State)[T.NL],0.021310342682939652,2.3910615276525806e-18
C(State)[T.OR],-0.003385659082890899,0.023176377329645264
C(State)[T.PB],0.05361770394197326,1.018957819007634e-34
C(State)[T.PY],-0.001373648724697046,0.6339136384703132
C(State)[T.RJ],0.004846021973665183,0.0772813521178337
C(State)[T.SK],0.0245171876905005,0.005319642945061826
C(State)[T.TN],-0.008527872865729764,3.7422747817656017e-16
C(State)[T.TR],0.023084125248835366,0.0017916821683203212
C(State)[T.UP],0.02854844287746743,1.5558809277555047e-18
C(State)[T.UT],0.012816876247554392,0.00040586281193787994
C(State)[T.WB],-0.003176229987320372,0.00021865164793054645
C(CalendarWeek)[T.2021-08-03/2021-08-09],0.0009127081656003649,0.5072549843708845
C(CalendarWeek)[T.2021-08-10/2021-08-16],-0.0011701492457056185,0.2057377903304979
C(CalendarWeek)[T.2021-08-17/2021-08-23],0.00827758129603962,0.27499391097277415
C(CalendarWeek)[T.2021-08-24/2021-08-30],0.009234296410479004,0.1872502529108443
C(CalendarWeek)[T.2021-08-31/2021-09-06],0.0029676205878055783,0.590765533292009
C(CalendarWeek)[T.2021-09-07/2021-09-13],0.004155353748725948,0.47493332706393987
C(CalendarWeek)[T.2021-09-14/2021-09-20],0.001979282006751918,0.6887961954972666
C(CalendarWeek)[T.2021-09-21/2021-09-27],-4.895331771917651e-06,0.9980398378983774
C(CalendarWeek)[T.2021-09-28/2021-10-04],0.0008844714536516015,0.7184398819693523
C(CalendarWeek)[T.2021-10-05/2021-10-11],-0.003825646972137068,0.027823540228426286
C(CalendarWeek)[T.2021-10-12/2021-10-18],-2.6452191651864243e-05,0.9893814772990603
C(CalendarWeek)[T.2021-10-19/2021-10-25],-0.009981026511711824,0.0017938153661336627
C(CalendarWeek)[T.2021-10-26/2021-11-01],-0.006378981266257395,0.09114414275928637
C(CalendarWeek)[T.2021-11-02/2021-11-08],-0.008738255014573355,0.002469652973961078
C(CalendarWeek)[T.2021-11-09/2021-11-15],-0.00656120067614105,0.002374477717039601
C(CalendarWeek)[T.2021-11-16/2021-11-22],-0.004396834107191046,0.027584252462812257
C(CalendarWeek)[T.2021-11-23/2021-11-29],-0.0066458470711768984,0.030753835016847864
C(CalendarWeek)[T.2021-11-30/2021-12-06],-0.009465102586503968,0.0005853953965314314
C(CalendarWeek)[T.2021-12-07/2021-12-13],-0.007052498192397477,0.009223255499315307
C(CalendarWeek)[T.2021-12-14/2021-12-20],-0.005405012094451467,0.07477819496353016
C(CalendarWeek)[T.2021-12-21/2021-12-27],-0.00758616273390797,0.00532039330121174
C(CalendarWeek)[T.2021-12-28/2022-01-03],0.01868303387949304,0.009942819870313693
C(CalendarWeek)[T.2022-01-04/2022-01-10],0.04201905583303076,0.002340364575982651
C(CalendarWeek)[T.2022-01-11/2022-01-17],0.023675763368926312,0.006116284219908791
C(CalendarWeek)[T.2022-01-18/2022-01-24],-0.008907339268208594,0.09612047761535115
Uptake180_per100,-1.4083664383873045e-05,0.0004779013767345517
Post[T.True]:Uptake180_per100,4.649733641171839e-06,0.21265431843834018
Cases_per100k,7.242640943812069e-06,0.7354099143053655
